Name,Kategorie,Breitengrad,Laengengrad
Freie Katholische Schule Sumatra,Schule,47.382138,8.543109
Schule Schütze,Schule,47.3889203,8.5235695
Technische Berufsschule Zürich,Schule,47.3836636,8.5354324
"Fachschule Viventa, Schulhaus Bullinger",Schule,47.3817081,8.5111206
Tagesschule Am Wasser,Schule,47.3956378,8.50471
Schule Bläsi,Schule,47.4015325,8.5021526
Schule Schanzengraben,Schule,47.3697522,8.5353302
Schule Etz Chaim,Schule,47.3600759,8.5144173
Jüdische Mädchenschule,Schule,47.368875,8.5270011
Schule Döltschihalde,Schule,47.3634042,8.4993245
Schule Utogrund,Schule,47.3790945,8.4969832
Schule Leutschenbach,Schule,47.4136759,8.5621415
Schule Kappeli Sekundar,Schule,47.3873314,8.4947524
Schulanlage Brunnenhof,Schule,47.401268,8.5355414
"Kantonsschule Wiedikon, Filiale Hohlstrasse",Schule,47.3831503,8.5175017
Naturschule Dunkelhölzli,Schule,47.3887265,8.4661468
Schule Allmend,Schule,47.3406756,8.5202
Schule für Körper- und Mehrfachbehinderte,Schule,47.3486178,8.5273689
Guggach,Schule,47.4029113,8.5344769
Unbekannt,Schule,47.4158369,8.5515749
Schule Triemli und In der Ey,Schule,47.3753665,8.4872924
Berufsschule für Detailhandel Zürich,Schule,47.3860905,8.5391725
Coop,Supermarkt,47.3767316,8.5421608
Migros,Supermarkt,47.37502,8.522895
Aldi,Supermarkt,47.3409666,8.5306007
Coop,Supermarkt,47.3400698,8.5305461
Migros,Supermarkt,47.3447487,8.5299814
Migros,Supermarkt,47.3752549,8.5361073
Coop,Supermarkt,47.4025264,8.4987145
Denner,Supermarkt,47.4033126,8.498119
Migros,Supermarkt,47.3640724,8.5309446
Coop,Supermarkt,47.376417,8.5595945
Coop,Supermarkt,47.3777162,8.5112192
Aldi,Supermarkt,47.3882936,8.4966888
Migros,Supermarkt,47.3855977,8.5314709
Coop,Supermarkt,47.3648716,8.521006
Coop,Supermarkt,47.36736,8.5461737
Coop,Supermarkt,47.3579403,8.5546463
Migros,Supermarkt,47.3583667,8.5540739
Migros,Supermarkt,47.3656781,8.5480408
Coop,Supermarkt,47.3667726,8.5480794
Migros,Supermarkt,47.3645956,8.5538464
Coop,Supermarkt,47.3643,8.5551291
Aldi,Supermarkt,47.3668299,8.5481
Migros,Supermarkt,47.3576104,8.5713693
Lidl,Supermarkt,47.3689582,8.5413011
Coop,Supermarkt,47.4188884,8.5056989
Coop,Supermarkt,47.3936485,8.5295435
Coop,Supermarkt,47.392539,8.5245566
Denner,Supermarkt,47.3728259,8.5294871
Coop,Supermarkt,47.4137195,8.4794588
Migros,Supermarkt,47.4195222,8.548286
Denner,Supermarkt,47.4211522,8.549362
Denner,Supermarkt,47.3748981,8.5234086
Coop,Supermarkt,47.3770779,8.5264444
Coop,Supermarkt,47.3824677,8.5479911
Denner,Supermarkt,47.4114261,8.5265305
Migros,Supermarkt,47.3791999,8.5087992
Coop,Supermarkt,47.3757598,8.5172277
Migros,Supermarkt,47.3925525,8.5384284
Coop,Supermarkt,47.3957248,8.5404707
Denner,Supermarkt,47.3841236,8.5317649
Migros,Supermarkt,47.3701315,8.520077
Coop,Supermarkt,47.404782,8.5718792
