Strassenname,Strassentyp,Breitengrad,Laengengrad
Weberstrasse,residential,47.3703986,8.5286283
Zurlindenstrasse,residential,47.3676771,8.523008
Birmensdorferstrasse,secondary,47.3705659,8.5221566
Mööslistrasse,residential,47.3453937,8.5288787
Muggenbühlstrasse,residential,47.3512286,8.5265122
Grütlistrasse,residential,47.3634191,8.5305578
Brandschenkesteig,residential,47.366611,8.528198
Parkring,residential,47.3667715,8.5294777
Ulmbergtunnel,primary,47.3675795,8.5304293
Europabrücke,secondary,47.3997117,8.4952956
Kräuelgasse,residential,47.3762405,8.52934
Kernstrasse,residential,47.377924,8.5260177
Marmorgasse,residential,47.3770795,8.5256256
Rolandstrasse,residential,47.3793774,8.5261005
Nietengasse,residential,47.3796966,8.5255493
Eichbühlstrasse,residential,47.3826059,8.5113115
Eglistrasse,residential,47.3832934,8.5102155
Zimmerlistrasse,residential,47.3839109,8.5097238
Knüslistrasse,residential,47.3839989,8.5086969
Gugolzstrasse,residential,47.3824106,8.5130892
Badenerstrasse,tertiary,47.3813553,8.5034126
Norastrasse,residential,47.3802773,8.5076618
Bienenstrasse,residential,47.3815202,8.5065032
Bullingerstrasse,residential,47.3825357,8.5077052
Börsenstrasse,residential,47.3676986,8.5388459
Poststrasse,residential,47.369617,8.5394476
Selnaubrücke,residential,47.3702034,8.5344694
Zelglistrasse,residential,47.412957,8.5249797
Affolternstrasse,residential,47.4104676,8.5363359
Therese-Giehse-Strasse,residential,47.4136079,8.5414641
Kügeliloostrasse,residential,47.4141997,8.5305249
Robert-Maillart-Strasse,residential,47.4147511,8.5322481
Primelstrasse,residential,47.4129375,8.5170357
Schumacherweg,residential,47.4129324,8.5136488
Horensteinstrasse,residential,47.4257541,8.5092395
Fronwaldstrasse,residential,47.4213555,8.511442
Zelgwiesenstrasse,residential,47.4131689,8.5274453
Kügeliloostrasse,residential,47.4116128,8.528399
Maienstrasse,residential,47.4101081,8.5293535
James-Joyce-Strasse,residential,47.4122318,8.5405675
Ricarda-Huch-Strasse,residential,47.4119723,8.5398936
Regensbergstrasse,tertiary,47.4118037,8.5253446
Riedenhaldenstrasse,residential,47.4205067,8.5088768
Jonas-Furrer-Strasse,residential,47.4191706,8.507844
Regensdorferstrasse,tertiary,47.4021848,8.4993144
Widmerstrasse,residential,47.3379041,8.5371784
Segantinistrasse,residential,47.4042582,8.5024016
Vogtsrain,residential,47.403254,8.5000193
Regensbergstrasse,tertiary,47.4095126,8.5378714
Franklinstrasse,tertiary,47.4086166,8.5464177
Birchstrasse,secondary,47.4040004,8.5344244
Bahnhofquai,tertiary,47.3784087,8.541762
Bahnhofbrücke,tertiary,47.3768168,8.5429812
Minervastrasse,residential,47.3663317,8.5557358
Klosbachstrasse,residential,47.3688495,8.5625213
Freiestrasse,residential,47.3622783,8.5642819
Mirabellenstrasse,residential,47.3894466,8.4772828
Schächenstrasse,residential,47.3889424,8.4772163
Sustenstrasse,residential,47.3878656,8.4784512
Meientalstrasse,residential,47.3864006,8.4770954
Libellenweg,residential,47.3860418,8.4771344
Loogartenstrasse,residential,47.3896799,8.4743506
Am Suteracher,residential,47.3909119,8.4710518
Karstlernstrasse,residential,47.3901264,8.4788257
Friedhofstrasse,residential,47.3824557,8.4737463
Eigenheimstrasse,residential,47.3901347,8.474431
Neeserweg,residential,47.3905927,8.4730143
Wolfswinkel,residential,47.4251517,8.5107573
Bockhornstrasse,residential,47.3762873,8.4820825
